MXIM;13/10/2017 07:48:44;NA;1450000;1790000;NA;1447144;2026895;NA;1447144;1900491
MYL;13/10/2017 07:49:02;NA;NA;NA;NA;3954181;7136870;NA;3954181;8206194
NCLH;13/10/2017 07:49:16;NA;33550000;2140000;NA;33545860;2476684;NA;33545860;2259550
NFLX;13/10/2017 07:49:33;NA;7750000;6710000;NA;7753341;7345480;NA;7753341;6356672
NTAP;13/10/2017 07:49:51;NA;3470000;2830000;NA;3473601;3162407;NA;3473601;2931847
NTES;13/10/2017 07:50:25;NA;899960;1350000;NA;899960;1307072;NA;899937;1435331
NVDA;13/10/2017 07:50:51;NA;13210000;16330000;NA;13207315;16744613;NA;13207315;16452465
NXPI;13/10/2017 07:51:28;NA;1270000;1550000;NA;1273664;1679160;NA;1273664;1564332
ORLY;13/10/2017 07:51:34;NA;707092;1060000;NA;707092;1375143;NA;707092;1209048
PAYX;13/10/2017 07:51:48;NA;2060000;2160000;NA;2055148;2208896;NA;2055148;2124020
PCAR;13/10/2017 07:52:09;NA;2730000;1650000;NA;2732121;1636687;NA;2732121;1581190
PCLN;13/10/2017 07:52:28;NA;NA;NA;NA;235260;427736;NA;235260;450179
PYPL;13/10/2017 07:52:44;NA;8890000;6870000;NA;8888300;7331030;NA;8888300;6448773
QCOM;13/10/2017 07:52:55;NA;7060000;7630000;NA;7062303;8290338;NA;7062303;7741777
QVCA;13/10/2017 07:53:12;NA;4460000;3820000;NA;4455769;3727478;NA;4455769;3950286
REGN;13/10/2017 07:53:30;NA;704789;838802;NA;NA;NA;NA;704789;751511
ROST;13/10/2017 07:53:56;NA;3250000;2790000;NA;3254305;3492727;NA;3254305;3362673
SBAC;13/10/2017 07:54:06;NA;1150000;2060000;NA;1147346;1483024;NA;1147346;1657469
SBUX;13/10/2017 07:54:25;NA;7230000;8530000;NA;7234267;10153284;NA;7234267;9196972
SIRI;13/10/2017 07:54:43;NA;181350000;121630000;NA;20327637;17494480;NA;20327637;15978892
SRCL;13/10/2017 07:55:05;NA;816712;636157;NA;816712;743389;NA;816712;792932
STX;13/10/2017 07:55:52;NA;5110000;4800000;NA;5111119;5475684;NA;5111119;4666430
SWKS;13/10/2017 07:56:08;NA;1100000;1520000;NA;1103417;1606075;NA;1103417;1469166
SYMC;13/10/2017 07:56:29;NA;3770000;6080000;NA;3770596;6716566;NA;3770596;6891131
TMUS;13/10/2017 07:56:54;NA;2510000;3840000;NA;2506553;3604952;NA;2506553;3266711
TRIP;13/10/2017 07:57:15;NA;2490000;2540000;NA;2490496;2984590;NA;2490496;3175065
TSCO;13/10/2017 07:57:29;NA;3090000;1770000;NA;3094368;2228335;NA;3094368;1969334
TSLA;13/10/2017 07:57:41;NA;4090000;5670000;NA;4087048;6039986;NA;4087048;5824770
TXN;13/10/2017 07:58:09;NA;3540000;40000000;NA;3537901;4014656;NA;3537901;3877515
ULTA;13/10/2017 07:58:33;NA;5500000;1110000;NA;5495992;1360760;NA;5495992;1316380
VIAB;13/10/2017 07:58:56;NA;17930000;4880000;NA;17926619;5357960;NA;17926619;5279845
VOD;13/10/2017 07:59:15;NA;4930000;2600000;NA;4929492;2603050;NA;4929492;2602304
VRTX;13/10/2017 07:59:29;NA;1540000;1530000;NA;1535039;1835249;NA;1535039;1365166
WBA;13/10/2017 07:59:49;NA;6120000;6890000;NA;6119253;5806023;NA;6119253;5876789
WDC;13/10/2017 08:00:39;NA;2160000;4320000;NA;2160699;4139024;NA;2160699;4225212
WFM;13/10/2017 08:00:47;NA;0;6390000;NA;NA;NA;NA;NA;NA
XLNX;13/10/2017 08:01:06;NA;0;2150000;NA;2185935;2378466;NA;2185935;2204962
AABA;13/10/2017 12:51:21;NA;550;6730000;NA;4110988;6391570;NA;4109907;6475243
AAL;13/10/2017 12:51:29;NA;2240000;4630000;NA;2943045;5834535;NA;2943045;5946487
AAPL;13/10/2017 12:51:34;NA;342393;28860000;NA;16125054;27339878;NA;16125054;27913972
ADBE;13/10/2017 12:51:42;NA;25919;2610000;NA;2430193;2059329;NA;2430193;2143784
ADI;13/10/2017 12:51:49;NA;19472;2400000;NA;2309617;2257926;NA;2309617;2308313
ADP;13/10/2017 12:51:56;NA;23344;2630000;NA;1132738;4590166;NA;1132738;4103369
ADSK;13/10/2017 12:52:04;NA;11515;1820000;NA;1236621;1796521;NA;1236621;1889001
AKAM;13/10/2017 12:52:14;NA;9005;1620000;NA;1171001;1911213;NA;1171001;1592842
ALXN;13/10/2017 12:52:23;NA;11724;1560000;NA;855800;1553300;NA;855800;1462372
AMAT;13/10/2017 12:52:31;NA;59991;10820000;NA;12611372;10181586;NA;12611372;10340496
AMGN;13/10/2017 12:52:40;NA;38390;2670000;NA;2223755;2500587;NA;2223755;2368641
AMZN;13/10/2017 12:52:44;NA;NA;NA;NA;4067317;3382040;NA;4067317;3105335
ATVI;13/10/2017 12:52:48;NA;40598;6060000;NA;4715631;5808538;NA;4715631;5999521
AVGO;13/10/2017 12:52:52;NA;21729;2520000;NA;2007191;2443520;NA;2007191;2567212
BATRA;13/10/2017 12:52:57;NA;0;50638;NA;43334;59870;NA;43334;47254
BATRK;13/10/2017 12:53:02;NA;0;132001;NA;114956;169406;NA;114956;134134
BBBY;13/10/2017 12:53:16;NA;0;4940000;NA;4805413;4278696;NA;4802413;3912597
BIDU;13/10/2017 12:53:39;NA;2949;2520000;NA;2186058;2916521;NA;2181891;2613754
BIIB;13/10/2017 12:54:25;NA;11107;1300000;NA;1120224;1261390;NA;1120224;1199324
BMRN;13/10/2017 12:54:31;NA;0;1320000;NA;1286640;1316367;NA;1286640;1316057
CA;13/10/2017 12:54:51;NA;16598;1490000;NA;1295747;2354332;NA;1295747;1940262
CELG;13/10/2017 12:54:55;NA;42055;4020000;NA;4254177;3626889;NA;4254177;3608971
CERN;13/10/2017 12:55:01;NA;16648;2230000;NA;1938911;1859973;NA;1938911;1956378
CHKP;13/10/2017 12:55:08;NA;0;683396;NA;544591;845364;NA;544591;693105
CHTR;13/10/2017 12:55:13;NA;NA;NA;NA;2582612;1798495;NA;2582612;1790354
CMCSA;13/10/2017 12:55:17;NA;247105;26340000;NA;50704486;20905710;NA;50704486;21486703
COST;13/10/2017 12:55:21;NA;23419;3480000;NA;3596284;3553501;NA;3596284;3366492
CSCO;13/10/2017 12:55:25;NA;262679;19170000;NA;17905601;19616303;NA;17905601;20494625
CSX;13/10/2017 12:55:28;NA;47978;5450000;NA;5134345;6991933;NA;5134345;5744376
CTRP;13/10/2017 12:55:33;NA;100;4250000;NA;2024448;4229803;NA;2019227;4634391
CTSH;13/10/2017 12:55:36;NA;31026;2650000;NA;2675616;2990813;NA;2675616;2830606
CTXS;13/10/2017 12:55:40;NA;7561;1490000;NA;1256477;1419447;NA;1256477;1502398
DISCA;13/10/2017 12:56:28;NA;8086;3660000;NA;11046839;4419536;NA;11046839;3701809
DISCK;13/10/2017 12:56:32;NA;10676;2670000;NA;5532430;2814826;NA;5532430;2651250
DISH;13/10/2017 12:56:36;NA;13417;2180000;NA;5235637;1995969;NA;5235637;2017422
DLTR;13/10/2017 12:56:40;NA;12543;2220000;NA;2185270;2608164;NA;2185270;2694943
EA;13/10/2017 12:56:44;NA;16222;2220000;NA;2046614;2334095;NA;2046614;2110259
EBAY;13/10/2017 12:56:47;NA;52292;7380000;NA;10045740;8058592;NA;10045740;7211185
ENDP;13/10/2017 12:56:52;NA;0;12708;NA;8339614;6055033;NA;8339614;6628954
ESRX;13/10/2017 12:56:56;NA;30700;3640000;NA;3766891;3206644;NA;3766891;3259451
EXPE;13/10/2017 12:57:00;NA;6418;1790000;NA;1383952;1882746;NA;1383952;1943923
FAST;13/10/2017 12:57:04;NA;15128;2680000;NA;4633013;2962253;NA;4633013;2600095
FB;13/10/2017 12:57:08;NA;154542;14370000;NA;10351044;15857487;NA;10351044;13501586
FISV;13/10/2017 12:57:12;NA;11056;815248;NA;1410669;768056;NA;1410669;764898
FOX;13/10/2017 12:57:15;NA;NA;NA;NA;4765116;2542049;NA;4765116;2645921
FOXA;13/10/2017 12:57:21;NA;55292;7580000;NA;13160657;7605123;NA;13160657;6961373
GILD;13/10/2017 12:57:24;NA;79368;9620000;NA;6763601;9321046;NA;6763601;9590980
GOOG;13/10/2017 12:57:28;NA;16919;1330000;NA;1262793;1424526;NA;1262793;1265638
GOOGL;13/10/2017 12:57:31;NA;NA;NA;NA;1530664;1618635;NA;1530664;1438218
HSIC;13/10/2017 12:57:34;NA;8335;1480000;NA;811887;1223187;NA;811887;1396653
ILMN;13/10/2017 12:57:38;NA;7670;737568;NA;657641;881261;NA;657641;769989
INCY;13/10/2017 12:57:42;NA;8976;1940000;NA;1590822;1475876;NA;1590822;1569756
INTC;13/10/2017 12:57:45;NA;253433;22750000;NA;18286944;22190283;NA;18286944;21823121
INTU;13/10/2017 12:57:49;NA;12787;1370000;NA;1094502;1291556;NA;1094502;1349187
ISRG;13/10/2017 12:57:52;NA;5876;754889;NA;842875;919923;NA;842875;806244
JD;13/10/2017 12:57:56;NA;16495;13600000;NA;14544883;13075984;NA;14512304;14337108
KHC;13/10/2017 12:58:00;NA;31897;3390000;NA;2485407;3087506;NA;2485407;3239725
LBTYA;13/10/2017 12:58:05;NA;0;2330000;NA;2858190;2090332;NA;2858190;2175119
LBTYK;13/10/2017 12:58:09;NA;0;3260000;NA;3874481;2821703;NA;3874481;NA
LLTC;13/10/2017 12:58:15;NA;0;2660000;NA;NA;NA;NA;NA;NA
LMCA;13/10/2017 12:58:21;NA;0;357056;NA;NA;NA;NA;NA;NA
LMCK;13/10/2017 12:58:24;NA;NA;NA;NA;NA;NA;NA;NA;NA
LRCX;13/10/2017 12:58:28;NA;9014;1910000;NA;2138747;2138914;NA;2138747;2001784
LVNTA;13/10/2017 12:58:32;NA;0;563945;NA;771655;583367;NA;771655;533622
MAR;13/10/2017 12:58:39;NA;16434;2230000;NA;1739112;2131140;NA;1739112;2297950
MAT;13/10/2017 12:58:43;NA;18004;8170000;NA;6555915;7548581;NA;6555915;7221806
MDLZ;13/10/2017 12:58:46;NA;79199;9240000;NA;5110189;8341547;NA;5110189;8975180
